time_s,acc_DOF3_mps2,acc_DOF4_mps2,acc_DOF5_mps2,acc_DOF6_mps2
1.18,0.00067288,-0.00021177,-0.00531158,-0.00604191
1.185,0.0011481,-0.00205901,-0.00336344,-0.00327272
1.19,0.00186702,-0.00066701,-0.00142506,-0.00501809
1.195,0.00275677,0.00131468,0.00030896,-0.00198751
1.2,0.00374524,0.0016704,-0.00013966,-0.00038518
1.205,0.00576726,0.00330551,0.00104146,-0.00156536
1.21,0.00391153,0.00301763,0.00247431,0.00014772
1.215,0.00700064,0.00371255,0.00048123,-0.000295
1.22,0.0066852,0.0042365,0.00229825,0.00040846
1.225,0.005098,0.00434091,0.00133525,0.00052544
1.23,0.00498482,0.00141517,0.00269641,-0.00083461
1.235,0.00478533,0.00255325,5.52e-05,-0.00212632
1.24,0.00278476,3.168e-05,-0.00217555,-0.00359468
1.245,-0.00074875,-0.00213053,-0.00317722,-0.0042173
1.25,-0.00298032,-0.00254294,-0.00360763,-0.00577349
1.255,-0.00162131,-0.00625682,-0.0079207,-0.01005203
1.26,-0.00369409,-0.00494202,-0.01060518,-0.01080735
1.265,-0.00845573,-0.01103636,-0.01194009,-0.01109589
1.27,-0.009574,-0.01027095,-0.01218353,-0.01517604
1.275,-0.009533,-0.01389877,-0.01501127,-0.01544915
1.28,-0.01275647,-0.01456072,-0.01508322,-0.01602732
1.285,-0.01560908,-0.0155257,-0.01575331,-0.01658501
1.29,-0.0174248,-0.01730095,-0.01776896,-0.01926374
1.295,-0.01504749,-0.01676701,-0.01786821,-0.01946993
1.3,-0.01659361,-0.01680079,-0.0181851,-0.01901462
1.305,-0.01677261,-0.0187822,-0.01956574,-0.01910899
1.31,-0.01616378,-0.01915606,-0.01839957,-0.01854716
1.315,-0.01767631,-0.01827107,-0.01788045,-0.01930317
1.32,-0.01618298,-0.01983515,-0.01757594,-0.0173161
1.325,-0.01631086,-0.02002587,-0.01896669,-0.01637389
1.33,-0.01858137,-0.0178947,-0.01648268,-0.01795022
